date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:17	36631/36631	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/cover.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/cover.jpg	(from http://getbootstrap.com/)
15:46:20	13648/13648	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/sign-in.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/sign-in.jpg	(from http://getbootstrap.com/)
15:46:25	82270/82270	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/carousel.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/carousel.jpg	(from http://getbootstrap.com/)
15:46:30	25056/25056	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/sticky-footer.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/sticky-footer.jpg	(from http://getbootstrap.com/)
15:46:33	105375/105375	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/dashboard.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/dashboard.jpg	(from http://getbootstrap.com/)
15:46:33	79037/79037	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/justified-nav.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/justified-nav.jpg	(from http://getbootstrap.com/)
15:46:33	122350/122350	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/blog.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/blog.jpg	(from http://getbootstrap.com/)
15:46:35	39249/39249	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/sticky-footer-navbar.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/sticky-footer-navbar.jpg	(from http://getbootstrap.com/)
15:46:35	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Nov%202014%2007:46:35%20GMT	http://getbootstrap.com/migration	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/migration.2b.delayed	(from http://getbootstrap.com/)
15:46:37	287021/287021	---MC-	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/css/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/css/index.html	(from http://getbootstrap.com/)
15:46:38	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Nov%202014%2007:46:38%20GMT	http://getbootstrap.com/components	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/components.2c.delayed	(from http://getbootstrap.com/)
15:46:40	281303/281303	---MC-	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/components/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/components/index.html	(from http://getbootstrap.com/)
15:46:43	193479/193479	---MC-	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/javascript/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/javascript/index.html	(from http://getbootstrap.com/)
15:46:44	129789/129789	---MC-	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/customize/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/customize/index.html	(from http://getbootstrap.com/)
15:46:44	61060/61060	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/non-responsive.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/non-responsive.jpg	(from http://getbootstrap.com/)
15:46:45	11624/11624	---MC-	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/index.html	(from http://getbootstrap.com/)
15:46:47	127352/127352	---MC-	200	added ('OK')	text/css	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/css/bootstrap.css	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/css/bootstrap.css	(from http://getbootstrap.com/)
15:46:47	22111/22111	---MC-	200	added ('OK')	text/css	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/css/bootstrap-responsive.css	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/css/bootstrap-responsive.css	(from http://getbootstrap.com/)
15:46:48	24502/24502	---MC-	200	added ('OK')	text/css	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/css/docs.css	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/css/docs.css	(from http://getbootstrap.com/)
15:46:49	817/817	---MC-	200	added ('OK')	text/css	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/js/google-code-prettify/prettify.css	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/js/google-code-prettify/prettify.css	(from http://getbootstrap.com/)
15:46:49	112583/112583	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/offcanvas.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/offcanvas.jpg	(from http://getbootstrap.com/)
15:46:51	16780/16780	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/ico/apple-touch-icon-144-precomposed.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/ico/apple-touch-icon-144-precomposed.png	(from http://getbootstrap.com/)
15:46:51	5681/5681	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/ico/apple-touch-icon-72-precomposed.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/ico/apple-touch-icon-72-precomposed.png	(from http://getbootstrap.com/)
15:46:51	11392/11392	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/ico/apple-touch-icon-114-precomposed.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/ico/apple-touch-icon-114-precomposed.png	(from http://getbootstrap.com/)
